"","nsubs","nlost","nrisk","nevent","surv","pdf","hazard","se.surv","se.pdf","se.hazard"
"0-28",48,18,39,0,1,0,0,0,NA,NA
"28-30",30,2,29,0,1,0,0,0,NA,NA
"30-31",28,4,26,0,1,0,0,0,NA,NA
"31-61",24,3,22.5,0,1,0,0,0,NA,NA
"61-316",21,0,21,1,1,0.000186741363211952,0.000191296030607365,0,0.000182240909981052,0.000191239122668992
"316-323",20,0,20,1,0.952380952380952,0.00680272108843538,0.00732600732600733,0.0464714320451682,0.00663877600645261,0.00732359864360587
"323-334",19,1,18.5,0,0.904761904761905,0,0,0.0640564484890047,NA,NA
"334-365",18,1,17.5,0,0.904761904761905,0,0,0.0640564484890047,NA,NA
"365-396",17,2,16,0,0.904761904761905,0,0,0.0640564484890047,NA,NA
"396-423",15,1,14.5,0,0.904761904761905,0,0,0.0640564484890047,NA,NA
"423-437",14,1,13.5,0,0.904761904761905,0,0,0.0640564484890047,NA,NA
"437-517",13,1,12.5,0,0.904761904761905,0,0,0.0640564484890047,NA,NA
"517-541",12,1,11.5,0,0.904761904761905,0,0,0.0640564484890047,NA,NA
"541-548",11,1,10.5,0,0.904761904761905,0,0,0.0640564484890047,NA,NA
"548-578",10,0,10,1,0.904761904761905,0.00301587301587302,0.00350877192982456,0.0640564484890047,0.00286906473818478,0.00350390876472951
"578-638",9,1,8.5,0,0.814285714285714,0,0,0.103397108756122,NA,NA
"638-789",8,1,7.5,0,0.814285714285714,0,0,0.103397108756122,NA,NA
"789-1035",7,1,6.5,0,0.814285714285714,0,0,0.103397108756122,NA,NA
"1035-1215",6,1,5.5,0,0.814285714285714,0,0,0.103397108756122,NA,NA
"1215-1245",5,2,4,0,0.814285714285714,0,0,0.103397108756122,NA,NA
"1245-1246",3,1,2.5,0,0.814285714285714,0,0,0.103397108756122,NA,NA
"1246-1519",2,1,1.5,0,0.814285714285714,0,0,0.103397108756122,NA,NA
"1519-NA",1,1,0.5,0,0.814285714285714,NA,NA,0.103397108756122,NA,NA
